,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
561,27.92661,-93.94583,4.27094E+13,Gulf Coast,High Island South,A-10A,Conventional Hydrocarbon,,1983-05-09,Mp4 Lower,Unknown,7860,7994,,,7.34,61000,,1030,33400,,287,19800,16,0.06,
18128,27.817,-98.525,4.21313E+13,Gulf Coast,Duval,,Conventional Hydrocarbon,1979-10-25,1980-12-09,Wilcox W Sd,Tertiary,14153,14381,15100,1.01,8.33,17371,654,565,9940,,21,6028,108,,
18141,27.786,-98.554,,Gulf Coast,Duval,J S Garcia No 1,Conventional Hydrocarbon,,1980-11-29,Wilcox Lo S Sd,Unknown,,,,1.018,8.33,31484,671,635,18460,,43,11501,155,,
18136,27.786,-98.554,,Gulf Coast,Duval,Hubberd-frost No 2,Conventional Hydrocarbon,,1980-11-11,Wilcox Lo S,Unknown,,,,1.022,8.14,38717,610,812,23075,,64,14082,<MDL,,
18129,27.8189,-98.4942,4.21313E+13,Gulf Coast,Duval,L C Weatherby A No 5,Conventional Hydrocarbon,1979-11-08,1980-09-23,Wilcox P Sd,Tertiary,,,11500,1.018,8.56,30995,698,459,18105,,64,11241,108,,
548,30.11057,-94.31848,4.22453E+13,Gulf Coast,Jefferson,Lear Kolemay #1,Conventional Hydrocarbon,,1980-09-18,Yegua,Unknown,11639,11780,,,7.38,12887,,27,7280,,6.24,5450,32,0.4,
549,30.11057,-94.31848,4.22453E+13,Gulf Coast,Jefferson,Lear Kolemay #1,Conventional Hydrocarbon,,1980-09-18,Yegua,Unknown,11639,11780,,,7.45,12648,,21,7260,,6.04,5270,,0.4,
546,29.2576,-95.22905,4.20393E+13,Gulf Coast,Brazoria,Pleasant Bayou #2,Conventional Hydrocarbon,,1980-09-16,Frio,Unknown,14644,14704,,,6.19,129548,,8800,80000,,646,37600,<1.0,0.08,
547,29.2576,-95.22905,4.20393E+13,Gulf Coast,Brazoria,Pleasant Bayou #2,Conventional Hydrocarbon,,1980-09-16,Frio,Unknown,14644,14704,,,6.61,129278,,8870,79700,,646,37600,,0.06,
554,29.22479,-95.15541,4.2039E+13,Gulf Coast,Brazoria,T. Martin Fee #5,Conventional Hydrocarbon,,1980-09-16,Frio 14600,Unknown,14889,14999,,,6.09,131032,,11460,82100,,748,35100,0.8,0.03,
555,29.17396,-95.11693,4.20393E+13,Gulf Coast,Brazoria,Alligator Point #1,Conventional Hydrocarbon,,1980-09-16,Frio,Unknown,11357,11641,,,6.81,11794,,62.5,6750,,7.84,4890,32.8,0.1,
552,29.2426,-95.32232,4.2039E+13,Gulf Coast,Brazoria,Emil Korenik B #1-T,Conventional Hydrocarbon,,1980-09-15,Frio 5 C,Unknown,8223,8245,,,7.01,36945,,163,22000,,32.6,14600,1.2,0.9,
